transferring data
Tue Jul  6 17:20:03 PDT 2021

Finished transferring
Tue Jul  6 17:20:04 PDT 2021

Adas: Argument Parser Options
---------------------------------------------
    config              : PostTrainingConfigs/BACH_transformed_testing/AdamP/lr-0.0001-config-AdamP.yaml
    data                : /localscratch/zhan8425.7068044.0        
    output              : ImageNet_post_trained/BACH_transformed/AdamP/output/fine_tuning
    checkpoint          : ImageNet_post_trained/BACH_transformed/AdamP/checkpoint/fine_tuning/lr-0.0001
    resume              : None                                    
    pretrained_model    : ImageNet                                
    freeze_encoder      : 1                                       
    root                : .                                       
    save_freq           : 200                                     
    cpu                 : 0                                       
    gpu                 : 0                                       
    mpd                 : 0                                       
    dist_url            : tcp://127.0.0.1:23456                   
    dist_backend        : nccl                                    
    world_size          : -1                                      
    rank                : -1                                      
---------------------------------------------
Adas: Output dir ImageNet_post_trained/BACH_transformed/AdamP/output/fine_tuning does not exist, building
Adas: Notice: early stop will not be used as it was set to -1.0, training till completion
Adas: Experiment Configuration
---------------------------------------------
    dataset              BACH_transformed    
    network              ResNet18            
    optimizer            AdamP               
    scheduler            None                
    level                L3Only              
    color_kwargs         {'augmentation': 'Color-Distortion', 'distortion': 0.3}
    degree_of_rotation   45                  
    vertical_flipping    0.5                 
    horizontal_flipping  0.5                 
    horizontal_shift     0.1                 
    vertical_shift       0.1                 
    gaussian_blur        0                   
    kernel_size          9                   
    variance             0.1                 
    cutout               0                   
    n_holes              1                   
    cutout_length        16                  
    init_lr              0.0001              
    early_stop_threshold -1.0                
    optimizer_kwargs     {'weight_decay': 0.0005}
    scheduler_kwargs     {'gamma': 0.5, 'step_size': 20.0}
    p                    1                   
    start_trial          0                   
    n_trials             3                   
    num_workers          4                   
    max_epochs           200                 
    mini_batch_size      32                  
    loss                 cross_entropy       
    early_stop_patience  10                  
---------------------------------------------
Adas: Pytorch device is set to cuda
AdamP on BACH_transformed: T 1/3 | E 1/200 Ended | E Time: 7.210s | ~Time Left: 1434.860s |  Train Loss: 1.3291 | Train Acc. 37.1608% | Test Loss: 1.4127 | Test Acc. 35.4167%
AdamP on BACH_transformed: T 1/3 | E 2/200 Ended | E Time: 6.472s | ~Time Left: 1281.522s |  Train Loss: 1.2852 | Train Acc. 40.2923% | Test Loss: 1.3069 | Test Acc. 39.5833%
AdamP on BACH_transformed: T 1/3 | E 3/200 Ended | E Time: 6.420s | ~Time Left: 1264.758s |  Train Loss: 1.2601 | Train Acc. 41.2317% | Test Loss: 1.3513 | Test Acc. 42.9167%
AdamP on BACH_transformed: T 1/3 | E 4/200 Ended | E Time: 6.385s | ~Time Left: 1251.472s |  Train Loss: 1.2346 | Train Acc. 44.6764% | Test Loss: 1.2576 | Test Acc. 45.4167%
AdamP on BACH_transformed: T 1/3 | E 5/200 Ended | E Time: 6.378s | ~Time Left: 1243.762s |  Train Loss: 1.2320 | Train Acc. 44.4676% | Test Loss: 1.3051 | Test Acc. 42.5000%
AdamP on BACH_transformed: T 1/3 | E 6/200 Ended | E Time: 6.694s | ~Time Left: 1298.581s |  Train Loss: 1.2312 | Train Acc. 45.4071% | Test Loss: 1.3786 | Test Acc. 42.5000%
AdamP on BACH_transformed: T 1/3 | E 7/200 Ended | E Time: 6.396s | ~Time Left: 1234.474s |  Train Loss: 1.2228 | Train Acc. 42.5887% | Test Loss: 1.2164 | Test Acc. 42.9167%
AdamP on BACH_transformed: T 1/3 | E 8/200 Ended | E Time: 6.394s | ~Time Left: 1227.602s |  Train Loss: 1.1766 | Train Acc. 47.7035% | Test Loss: 1.2758 | Test Acc. 42.0833%
AdamP on BACH_transformed: T 1/3 | E 9/200 Ended | E Time: 6.660s | ~Time Left: 1272.098s |  Train Loss: 1.2027 | Train Acc. 46.3466% | Test Loss: 1.2289 | Test Acc. 47.5000%
AdamP on BACH_transformed: T 1/3 | E 10/200 Ended | E Time: 6.396s | ~Time Left: 1215.260s |  Train Loss: 1.1904 | Train Acc. 48.2255% | Test Loss: 1.2938 | Test Acc. 40.0000%
AdamP on BACH_transformed: T 1/3 | E 11/200 Ended | E Time: 6.416s | ~Time Left: 1212.706s |  Train Loss: 1.1706 | Train Acc. 46.1378% | Test Loss: 1.2583 | Test Acc. 46.6667%
AdamP on BACH_transformed: T 1/3 | E 12/200 Ended | E Time: 6.691s | ~Time Left: 1257.993s |  Train Loss: 1.1587 | Train Acc. 49.2693% | Test Loss: 1.2997 | Test Acc. 50.4167%
AdamP on BACH_transformed: T 1/3 | E 13/200 Ended | E Time: 6.421s | ~Time Left: 1200.821s |  Train Loss: 1.1730 | Train Acc. 48.7474% | Test Loss: 1.2789 | Test Acc. 37.9167%
AdamP on BACH_transformed: T 1/3 | E 14/200 Ended | E Time: 6.409s | ~Time Left: 1192.113s |  Train Loss: 1.1780 | Train Acc. 50.1044% | Test Loss: 1.1405 | Test Acc. 45.8333%
AdamP on BACH_transformed: T 1/3 | E 15/200 Ended | E Time: 6.423s | ~Time Left: 1188.170s |  Train Loss: 1.1706 | Train Acc. 47.4948% | Test Loss: 1.2448 | Test Acc. 40.4167%
AdamP on BACH_transformed: T 1/3 | E 16/200 Ended | E Time: 6.398s | ~Time Left: 1177.157s |  Train Loss: 1.1469 | Train Acc. 49.1649% | Test Loss: 1.1876 | Test Acc. 45.8333%
AdamP on BACH_transformed: T 1/3 | E 17/200 Ended | E Time: 6.397s | ~Time Left: 1170.669s |  Train Loss: 1.0985 | Train Acc. 51.2526% | Test Loss: 1.1985 | Test Acc. 49.5833%
AdamP on BACH_transformed: T 1/3 | E 18/200 Ended | E Time: 6.535s | ~Time Left: 1189.308s |  Train Loss: 1.1113 | Train Acc. 53.0271% | Test Loss: 1.1572 | Test Acc. 50.4167%
AdamP on BACH_transformed: T 1/3 | E 19/200 Ended | E Time: 6.388s | ~Time Left: 1156.243s |  Train Loss: 1.0989 | Train Acc. 50.8351% | Test Loss: 1.2057 | Test Acc. 45.4167%
AdamP on BACH_transformed: T 1/3 | E 20/200 Ended | E Time: 6.356s | ~Time Left: 1144.079s |  Train Loss: 1.1117 | Train Acc. 52.8184% | Test Loss: 1.2743 | Test Acc. 43.7500%
AdamP on BACH_transformed: T 1/3 | E 21/200 Ended | E Time: 6.441s | ~Time Left: 1153.022s |  Train Loss: 1.1314 | Train Acc. 50.6263% | Test Loss: 1.3141 | Test Acc. 47.0833%
AdamP on BACH_transformed: T 1/3 | E 22/200 Ended | E Time: 6.362s | ~Time Left: 1132.385s |  Train Loss: 1.0456 | Train Acc. 56.6806% | Test Loss: 1.1794 | Test Acc. 53.7500%
AdamP on BACH_transformed: T 1/3 | E 23/200 Ended | E Time: 6.402s | ~Time Left: 1133.222s |  Train Loss: 1.0850 | Train Acc. 54.1754% | Test Loss: 1.1072 | Test Acc. 56.6667%
AdamP on BACH_transformed: T 1/3 | E 24/200 Ended | E Time: 6.533s | ~Time Left: 1149.883s |  Train Loss: 1.1047 | Train Acc. 50.7307% | Test Loss: 1.1065 | Test Acc. 50.4167%
AdamP on BACH_transformed: T 1/3 | E 25/200 Ended | E Time: 6.422s | ~Time Left: 1123.874s |  Train Loss: 1.0607 | Train Acc. 55.6367% | Test Loss: 1.0582 | Test Acc. 55.8333%
