transferring data
Sun Jul  4 20:15:18 PDT 2021

Finished transferring
Sun Jul  4 20:15:19 PDT 2021

Adas: Argument Parser Options
---------------------------------------------
    config              : PostTrainingConfigs/BACH_transformed_testing/AdamP/lr-0.0001-config-AdamP.yaml
    data                : /localscratch/zhan8425.6958608.0        
    output              : ADP_post_trained/BACH_transformed/AdamP/output/fine_tuning
    checkpoint          : ADP_post_trained/BACH_transformed/AdamP/checkpoint/fine_tuning/lr-0.0001
    resume              : None                                    
    pretrained_model    : /home/zhan8425/projects/def-plato/zhan8425/HistoKT/.Adas-checkpoint/ADP/best_trial_2.pth.tar
    freeze_encoder      : 1                                       
    root                : .                                       
    save_freq           : 25                                      
    cpu                 : 0                                       
    gpu                 : 0                                       
    mpd                 : 0                                       
    dist_url            : tcp://127.0.0.1:23456                   
    dist_backend        : nccl                                    
    world_size          : -1                                      
    rank                : -1                                      
---------------------------------------------
Adas: Output dir ADP_post_trained/BACH_transformed/AdamP/output/fine_tuning does not exist, building
Adas: Notice: early stop will not be used as it was set to -1.0, training till completion
Adas: Experiment Configuration
---------------------------------------------
    dataset              BACH_transformed    
    network              ResNet18            
    optimizer            AdamP               
    scheduler            None                
    level                L3Only              
    color_kwargs         {'augmentation': 'Color-Distortion', 'distortion': 0.3}
    degree_of_rotation   45                  
    vertical_flipping    0.5                 
    horizontal_flipping  0.5                 
    horizontal_shift     0.1                 
    vertical_shift       0.1                 
    gaussian_blur        0                   
    kernel_size          9                   
    variance             0.1                 
    cutout               0                   
    n_holes              1                   
    cutout_length        16                  
    init_lr              0.0001              
    early_stop_threshold -1.0                
    optimizer_kwargs     {'weight_decay': 0.0005}
    scheduler_kwargs     {'gamma': 0.5, 'step_size': 20.0}
    p                    1                   
    start_trial          0                   
    n_trials             3                   
    num_workers          4                   
    max_epochs           200                 
    mini_batch_size      32                  
    loss                 cross_entropy       
    early_stop_patience  10                  
---------------------------------------------
Adas: Pytorch device is set to cuda
AdamP on BACH_transformed: T 1/3 | E 1/200 Ended | E Time: 7.529s | ~Time Left: 1498.330s |  Train Loss: 1.3201 | Train Acc. 37.5783% | Test Loss: 1.3653 | Test Acc. 32.5000%
AdamP on BACH_transformed: T 1/3 | E 2/200 Ended | E Time: 6.693s | ~Time Left: 1325.262s |  Train Loss: 1.2838 | Train Acc. 40.5010% | Test Loss: 1.3080 | Test Acc. 41.2500%
AdamP on BACH_transformed: T 1/3 | E 3/200 Ended | E Time: 6.742s | ~Time Left: 1328.243s |  Train Loss: 1.2737 | Train Acc. 39.1441% | Test Loss: 1.3051 | Test Acc. 37.5000%
AdamP on BACH_transformed: T 1/3 | E 4/200 Ended | E Time: 6.692s | ~Time Left: 1311.580s |  Train Loss: 1.2511 | Train Acc. 42.7975% | Test Loss: 1.2644 | Test Acc. 40.8333%
AdamP on BACH_transformed: T 1/3 | E 5/200 Ended | E Time: 6.696s | ~Time Left: 1305.670s |  Train Loss: 1.2468 | Train Acc. 43.7370% | Test Loss: 1.2308 | Test Acc. 45.8333%
AdamP on BACH_transformed: T 1/3 | E 6/200 Ended | E Time: 6.703s | ~Time Left: 1300.328s |  Train Loss: 1.2361 | Train Acc. 43.3194% | Test Loss: 1.2242 | Test Acc. 43.3333%
AdamP on BACH_transformed: T 1/3 | E 7/200 Ended | E Time: 6.909s | ~Time Left: 1333.469s |  Train Loss: 1.2150 | Train Acc. 44.8852% | Test Loss: 1.1908 | Test Acc. 43.7500%
AdamP on BACH_transformed: T 1/3 | E 8/200 Ended | E Time: 6.664s | ~Time Left: 1279.486s |  Train Loss: 1.2265 | Train Acc. 44.0501% | Test Loss: 1.3623 | Test Acc. 31.6667%
AdamP on BACH_transformed: T 1/3 | E 9/200 Ended | E Time: 6.712s | ~Time Left: 1281.964s |  Train Loss: 1.2112 | Train Acc. 45.3027% | Test Loss: 1.1658 | Test Acc. 50.4167%
AdamP on BACH_transformed: T 1/3 | E 10/200 Ended | E Time: 6.686s | ~Time Left: 1270.334s |  Train Loss: 1.1660 | Train Acc. 47.8079% | Test Loss: 1.2732 | Test Acc. 47.0833%
AdamP on BACH_transformed: T 1/3 | E 11/200 Ended | E Time: 6.704s | ~Time Left: 1267.098s |  Train Loss: 1.1722 | Train Acc. 49.7912% | Test Loss: 1.2283 | Test Acc. 45.0000%
