transferring data
Sun Jul  4 20:15:19 PDT 2021

Finished transferring
Sun Jul  4 20:15:20 PDT 2021

Adas: Argument Parser Options
---------------------------------------------
    config              : PostTrainingConfigs/BACH_transformed_testing/AdamP/lr-0.001-config-AdamP.yaml
    data                : /localscratch/zhan8425.6958605.0        
    output              : ADP_post_trained/BACH_transformed/AdamP/output/fine_tuning
    checkpoint          : ADP_post_trained/BACH_transformed/AdamP/checkpoint/fine_tuning/lr-0.001
    resume              : None                                    
    pretrained_model    : /home/zhan8425/projects/def-plato/zhan8425/HistoKT/.Adas-checkpoint/ADP/best_trial_2.pth.tar
    freeze_encoder      : 1                                       
    root                : .                                       
    save_freq           : 25                                      
    cpu                 : 0                                       
    gpu                 : 0                                       
    mpd                 : 0                                       
    dist_url            : tcp://127.0.0.1:23456                   
    dist_backend        : nccl                                    
    world_size          : -1                                      
    rank                : -1                                      
---------------------------------------------
Adas: Output dir ADP_post_trained/BACH_transformed/AdamP/output/fine_tuning does not exist, building
Adas: Notice: early stop will not be used as it was set to -1.0, training till completion
Adas: Experiment Configuration
---------------------------------------------
    dataset              BACH_transformed    
    network              ResNet18            
    optimizer            AdamP               
    scheduler            None                
    level                L3Only              
    color_kwargs         {'augmentation': 'Color-Distortion', 'distortion': 0.3}
    degree_of_rotation   45                  
    vertical_flipping    0.5                 
    horizontal_flipping  0.5                 
    horizontal_shift     0.1                 
    vertical_shift       0.1                 
    gaussian_blur        0                   
    kernel_size          9                   
    variance             0.1                 
    cutout               0                   
    n_holes              1                   
    cutout_length        16                  
    init_lr              0.001               
    early_stop_threshold -1.0                
    optimizer_kwargs     {'weight_decay': 0.0005}
    scheduler_kwargs     {'gamma': 0.5, 'step_size': 20.0}
    p                    1                   
    start_trial          0                   
    n_trials             3                   
    num_workers          4                   
    max_epochs           200                 
    mini_batch_size      32                  
    loss                 cross_entropy       
    early_stop_patience  10                  
---------------------------------------------
Adas: Pytorch device is set to cuda
AdamP on BACH_transformed: T 1/3 | E 1/200 Ended | E Time: 7.604s | ~Time Left: 1513.135s |  Train Loss: 1.5524 | Train Acc. 27.6618% | Test Loss: 1.8233 | Test Acc. 26.2500%
AdamP on BACH_transformed: T 1/3 | E 2/200 Ended | E Time: 6.477s | ~Time Left: 1282.496s |  Train Loss: 1.3302 | Train Acc. 36.4301% | Test Loss: 1.4413 | Test Acc. 34.1667%
AdamP on BACH_transformed: T 1/3 | E 3/200 Ended | E Time: 6.432s | ~Time Left: 1267.138s |  Train Loss: 1.3378 | Train Acc. 36.3257% | Test Loss: 1.3054 | Test Acc. 41.2500%
AdamP on BACH_transformed: T 1/3 | E 4/200 Ended | E Time: 6.484s | ~Time Left: 1270.867s |  Train Loss: 1.2996 | Train Acc. 36.8476% | Test Loss: 1.3244 | Test Acc. 37.0833%
AdamP on BACH_transformed: T 1/3 | E 5/200 Ended | E Time: 6.517s | ~Time Left: 1270.750s |  Train Loss: 1.2885 | Train Acc. 39.4572% | Test Loss: 1.2059 | Test Acc. 43.3333%
AdamP on BACH_transformed: T 1/3 | E 6/200 Ended | E Time: 6.585s | ~Time Left: 1277.422s |  Train Loss: 1.2614 | Train Acc. 41.5449% | Test Loss: 1.3503 | Test Acc. 31.6667%
AdamP on BACH_transformed: T 1/3 | E 7/200 Ended | E Time: 6.506s | ~Time Left: 1255.624s |  Train Loss: 1.2887 | Train Acc. 40.2923% | Test Loss: 1.2477 | Test Acc. 41.2500%
AdamP on BACH_transformed: T 1/3 | E 8/200 Ended | E Time: 6.603s | ~Time Left: 1267.780s |  Train Loss: 1.2719 | Train Acc. 40.8142% | Test Loss: 1.3993 | Test Acc. 40.0000%
AdamP on BACH_transformed: T 1/3 | E 9/200 Ended | E Time: 6.553s | ~Time Left: 1251.713s |  Train Loss: 1.2675 | Train Acc. 39.6660% | Test Loss: 1.3192 | Test Acc. 41.6667%
AdamP on BACH_transformed: T 1/3 | E 10/200 Ended | E Time: 6.532s | ~Time Left: 1241.070s |  Train Loss: 1.2489 | Train Acc. 42.7975% | Test Loss: 1.4305 | Test Acc. 33.7500%
AdamP on BACH_transformed: T 1/3 | E 11/200 Ended | E Time: 6.551s | ~Time Left: 1238.120s |  Train Loss: 1.2448 | Train Acc. 43.0063% | Test Loss: 1.5565 | Test Acc. 44.5833%
